Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
8-jul-19;38.640,00;38.580,00;38.640,00;38.500,00;194,97K;0,16%
5-jul-19;38.580,00;38.340,00;38.840,00;38.180,00;747,03K;0,57%
4-jul-19;38.360,00;38.840,00;38.840,00;38.200,00;253,22K;-1,24%
3-jul-19;38.840,00;38.500,00;38.840,00;38.100,00;66,73K;0,88%
2-jul-19;38.500,00;38.600,00;38.720,00;38.360,00;242,67K;-0,36%
28-jun-19;38.640,00;38.700,00;38.720,00;38.600,00;155,19K;0,05%
27-jun-19;38.620,00;38.600,00;38.780,00;38.300,00;80,60K;0,31%
26-jun-19;38.500,00;38.600,00;38.700,00;38.500,00;404,65K;-0,57%
25-jun-19;38.720,00;38.780,00;38.800,00;38.280,00;103,94K;0,31%
21-jun-19;38.600,00;38.880,00;38.880,00;38.000,00;557,97K;-0,62%
20-jun-19;38.840,00;38.900,00;38.900,00;38.520,00;261,06K;0,47%
19-jun-19;38.660,00;38.540,00;38.900,00;38.360,00;1,33M;1,26%
18-jun-19;38.180,00;37.340,00;38.200,00;37.340,00;1,66M;2,36%
17-jun-19;37.300,00;37.800,00;37.800,00;37.300,00;130,18K;-2,25%
14-jun-19;38.160,00;37.800,00;38.680,00;37.620,00;52,47K;-0,10%
13-jun-19;38.200,00;38.260,00;38.260,00;38.100,00;326,69K;0,00%
12-jun-19;38.200,00;39.600,00;39.600,00;38.200,00;130,15K;-4,26%
11-jun-19;39.900,00;37.800,00;39.900,00;37.800,00;163,80K;5,56%
10-jun-19;37.800,00;38.000,00;38.560,00;37.800,00;257,09K;-0,53%
7-jun-19;38.000,00;37.820,00;38.000,00;37.820,00;61,78K;0,48%
6-jun-19;37.820,00;37.500,00;37.820,00;37.240,00;44,03K;1,34%
5-jun-19;37.320,00;37.880,00;38.280,00;37.240,00;414,51K;-3,01%
4-jun-19;38.480,00;37.000,00;38.480,00;36.840,00;134,24K;2,89%
31-may-19;37.400,00;36.980,00;37.400,00;36.800,00;367,96K;0,11%
30-may-19;37.360,00;36.980,00;37.400,00;36.980,00;86,82K;1,36%
29-may-19;36.860,00;35.980,00;37.480,00;35.960,00;129,57K;3,54%
28-may-19;35.600,00;35.520,00;36.020,00;35.520,00;710,28K;0,23%
27-may-19;35.520,00;36.000,00;36.020,00;35.240,00;18,79K;-2,04%
24-may-19;36.260,00;36.500,00;36.520,00;36.260,00;32,23K;0,00%
23-may-19;36.260,00;36.000,00;36.260,00;36.000,00;42,37K;0,61%
22-may-19;36.040,00;36.020,00;36.680,00;36.020,00;119,26K;-0,72%
21-may-19;36.300,00;36.020,00;36.840,00;36.020,00;85,55K;0,78%
20-may-19;36.020,00;36.300,00;36.540,00;36.000,00;69,23K;-0,83%
17-may-19;36.320,00;36.620,00;36.620,00;36.280,00;113,83K;-0,82%
16-may-19;36.620,00;37.520,00;37.600,00;36.200,00;162,73K;-2,40%
15-may-19;37.520,00;38.500,00;38.500,00;37.500,00;169,57K;-0,42%
14-may-19;37.680,00;37.840,00;37.940,00;37.680,00;207,86K;-0,42%
13-may-19;37.840,00;38.520,00;38.520,00;37.820,00;223,52K;-3,47%
10-may-19;39.200,00;38.520,00;39.400,00;38.520,00;180,34K;1,82%
9-may-19;38.500,00;38.680,00;39.000,00;38.500,00;124,79K;-0,31%
8-may-19;38.620,00;38.240,00;39.000,00;38.240,00;58,98K;0,99%
7-may-19;38.240,00;38.040,00;38.240,00;37.680,00;98,62K;0,53%
6-may-19;38.040,00;38.000,00;38.260,00;38.000,00;100,08K;0,53%
3-may-19;37.840,00;38.320,00;38.440,00;37.840,00;170,14K;-2,32%
2-may-19;38.740,00;38.740,00;39.400,00;38.720,00;86,01K;-1,68%
30-abr-19;39.400,00;39.740,00;39.740,00;39.240,00;953,21K;-2,04%
29-abr-19;40.220,00;40.860,00;40.960,00;40.140,00;173,32K;-1,57%
26-abr-19;40.860,00;41.000,00;41.000,00;40.620,00;137,93K;-0,54%
25-abr-19;41.080,00;41.200,00;41.200,00;40.800,00;139,75K;-0,29%
24-abr-19;41.200,00;40.100,00;41.200,00;40.100,00;220,55K;0,68%
23-abr-19;40.920,00;41.000,00;41.200,00;40.680,00;211,37K;-0,39%
22-abr-19;41.080,00;41.060,00;41.080,00;39.280,00;115,43K;0,00%
17-abr-19;41.080,00;40.000,00;41.080,00;39.440,00;61,66K;2,75%
16-abr-19;39.980,00;39.220,00;39.980,00;39.220,00;315,25K;1,94%
15-abr-19;39.220,00;41.100,00;41.100,00;39.220,00;113,51K;-4,53%
